Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
US_986043,Chrome 134.0.0.0,,,17-03-2025 21:57:02,17-03-2025 21:57:13,10.530s,PASSED
,,,,,,,
Test Cases/Sprints/Comon 00/us_986043,Chrome 134.0.0.0,,,17-03-2025 21:57:02,17-03-2025 21:57:13,10.093s,PASSED
"openBrowser("""")",Chrome 134.0.0.0,,,17-03-2025 21:57:03,17-03-2025 21:57:08,4.849s,PASSED
"navigateToUrl(""https://rahulshettyacademy.com/loginpagePractise/"")",Chrome 134.0.0.0,,,17-03-2025 21:57:08,17-03-2025 21:57:08,0.589s,PASSED
"click(findTestObject(""Object Repository/US_986043/Page_LoginPage Practise  Rahul Shetty Academy/i_rahulshettyacademy""))",Chrome 134.0.0.0,,,17-03-2025 21:57:08,17-03-2025 21:57:09,0.788s,PASSED
"setText(findTestObject(""Object Repository/US_986043/Page_LoginPage Practise  Rahul Shetty Academy/input_Username_username""), ""rahulshettyacademy"")",Chrome 134.0.0.0,,,17-03-2025 21:57:09,17-03-2025 21:57:10,0.997s,PASSED
"setEncryptedText(findTestObject(""Object Repository/US_986043/Page_LoginPage Practise  Rahul Shetty Academy/input_Password_password""), ""1PiAXA7e6bXYOnY+D2FYUg=="")",Chrome 134.0.0.0,,,17-03-2025 21:57:10,17-03-2025 21:57:11,0.665s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/US_986043/Page_LoginPage Practise  Rahul Shetty Academy/select_StudentTeacherConsultant""), ""teach"", true)",Chrome 134.0.0.0,,,17-03-2025 21:57:11,17-03-2025 21:57:12,1.236s,PASSED
"click(findTestObject(""Object Repository/US_986043/Page_LoginPage Practise  Rahul Shetty Academy/input_I Agree to the_signin""))",Chrome 134.0.0.0,,,17-03-2025 21:57:12,17-03-2025 21:57:13,0.415s,PASSED
