Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DEMO,Chrome 134.0.0.0,,,17-03-2025 10:38:56,17-03-2025 10:39:07,11.120s,FAILED
,,,,,,,
Test Cases/RElease1/DEMO,Chrome 134.0.0.0,,,17-03-2025 10:38:57,17-03-2025 10:39:07,10.707s,FAILED
"openBrowser("""")",Chrome 134.0.0.0,,,17-03-2025 10:38:57,17-03-2025 10:39:02,4.882s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 134.0.0.0,,,17-03-2025 10:39:02,17-03-2025 10:39:03,0.820s,PASSED
"setText(findTestObject(""Object Repository/Demo1/Page_Swag Labs/input_Swag Labs_user-name""), ""standard_user"")",Chrome 134.0.0.0,,,17-03-2025 10:39:03,17-03-2025 10:39:05,2.547s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Demo1/Page_Swag Labs/input_Swag Labs_password""), ""qcu24s4901FyWDTwXGr6XA=="")",Chrome 134.0.0.0,,,17-03-2025 10:39:05,17-03-2025 10:39:06,0.523s,PASSED
"click(findTestObject(""Object Repository/Demo1/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 134.0.0.0,,,17-03-2025 10:39:06,17-03-2025 10:39:06,0.461s,PASSED
"click(findTestObject(""Object Repository/Demo1/Page_Swag Labs/button_Open Menu""))",Chrome 134.0.0.0,,,17-03-2025 10:39:06,17-03-2025 10:39:07,0.495s,PASSED
"click(findTestObject(""Object Repository/Demo1/Page_Swag Labs/a_Logout""))",Chrome 134.0.0.0,,,17-03-2025 10:39:07,17-03-2025 10:39:07,0.501s,FAILED
